UID,iso3,Admin2,Province_State,Lat,Long_,Population
49815,MDA,NUL,Criuleni,47.2120,29.1617,46442
49816,MDA,NUL,Donduseni,48.2372,27.6104,87092
49817,MDA,NUL,Drochia,48.0333,27.7500,43015
49818,MDA,NUL,Dubasari,47.2670,29.1670,28500
49819,MDA,NUL,Edinet,48.1667,27.3167,90320
49820,MDA,NUL,Falesti,47.5000,27.7200,89389
49821,MDA,NUL,Floresti,47.8933,28.3014,155646
49822,MDA,NUL,Glodeni,47.7667,27.5167,119762
49823,MDA,NUL,Grigoriopol,47.1536,29.2964,9381
49824,MDA,NUL,Hincesti,46.8167,28.5833,97704
49825,MDA,NUL,Ialoveni,46.9439,28.7772,51056
49826,MDA,NUL,Leova,46.4806,28.2644,64924
49827,MDA,NUL,Nisporeni,47.0833,28.1833,56510
49828,MDA,NUL,Ocnita,48.4061,27.4859,116271
49829,MDA,NUL,Orhei,47.3735,28.8220,48105
49830,MDA,NUL,Rezina,47.7333,28.9500,69454
49831,MDA,NUL,Ribnita,47.7667,29.0000,47949
49832,MDA,NUL,Riscani,47.9679,27.5565,87153
49833,MDA,NUL,Singerei,47.6333,28.1500,42227
49834,MDA,NUL,Slobozia,46.7333,29.7000,14618
49835,MDA,NUL,Soldanesti,47.8167,28.8000,94986
49836,MDA,NUL,Soroca,48.1618,28.3011,70594
49837,MDA,NUL,Stefan Voda,46.5153,29.5297,88900
49838,MDA,NUL,Straseni,47.1333,28.6167,43154
49839,MDA,NUL,Taraclia,45.9000,28.6667,70126
49840,MDA,NUL,Telenesti,47.5032,28.3535,383806
49841,MDA,NUL,Tiraspol,46.8500,29.6333,133807
49842,MDA,NUL,Transnistria,47.2153,29.463,110545
49843,MDA,NUL,Ungheni,47.2077,27.8073,30804
49844,MDA,NUL,Vulcanesti,45.6833,28.4042,12185
49899,MDA,NUL,Unknown,,,0
492,MCO,NUL,,43.7333,7.4167,39244
496,MNG,NUL,,46.8625,103.8467,3278292
499,MNE,NUL,,42.708678,19.37439,628062
504,MAR,NUL,,31.7917,-7.0926,36910558
508,MOZ,NUL,,-18.665695,35.529562,31255435
8888,NUL,NUL,,,,0
516,NAM,NUL,,-22.9576,18.4904,2540916
524,NPL,NUL,,28.1667,84.25,29136808
528,NLD,NUL,,52.1326,5.2913,17134873
52801,NLD,NUL,Drenthe,52.862485,6.618435,493682
52802,NLD,NUL,Flevoland,52.550383,5.515162,423021
52803,NLD,NUL,Friesland,53.087337,5.7925,649957
52804,NLD,NUL,Gelderland,52.061738,5.939114,2085952
52805,NLD,NUL,Groningen,53.217922,6.741514,585866
52806,NLD,NUL,Limburg,51.209227,5.93387,1117201
52807,NLD,NUL,Noord-Brabant,51.561174,5.184942,2562955
52808,NLD,NUL,Noord-Holland,52.600906,4.918688,2879527
52809,NLD,NUL,Overijssel,52.444558,6.441722,1162406
52810,NLD,NUL,Utrecht,52.084251,5.163824,1354834
52811,NLD,NUL,Zeeland,51.47936,3.861559,383488
52812,NLD,NUL,Zuid-Holland,51.937835,4.462114,3708696
52813,NLD,NUL,Unknown,,,0
533,ABW,NUL,Aruba,12.5211,-69.9683,106766
531,CUW,NUL,Curacao,12.1696,-68.99,164100
534,SXM,NUL,Sint Maarten,18.0425,-63.0548,42882
535,BES,NUL,"Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,26221
554,NZL,NUL,,-40.9006,174.886,4822233
184,COK,NUL,Cook Islands,-21.2367,-159.7777,17459
558,NIC,NUL,,12.865416,-85.207229,6624554
562,NER,NUL,,17.607789,8.081666,24206636
566,NGA,NUL,,9.082,8.6753,206139587
56601,NGA,NUL,Abia,5.4527,7.5248,3727347
56602,NGA,NUL,Adamawa,9.3265,12.3984,4248436
56603,NGA,NUL,Akwa Ibom,4.9057,7.8537,5482177
